recordid,start,fwcode,respid,member,section,errtype,varname,errordesc
1798,12jan2026 12:01:56,ZC,WFF000045002027,Member 1 DB,Section E – Health literacy & sources of information,Skip / To Erase,e_3_9specify,Missing 'Other behaviour (specify)' (e_3_9specify) when e_3_8other = 1
34,11dec2025 08:42:36,AJ,HHcode -- CAM0000200,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
82,28nov2025 17:10:09,AM,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
292,02dec2025 12:13:40,AM,EFD000016001003,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
350,18dec2025 14:33:45,AA,EGF000004001010,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
1236,02dec2025 12:46:26,AJ,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
1269,02dec2025 17:10:46,AJ,NAC000056001018,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
1333,13jan2026 16:34:37,ZC,HHcode -- CAL0000740,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
1379,23jan2026 11:35:47,RA,HHcode -- EBE0000300,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_8other,Missing Section E behaviour item e_3_8other when interview was conducted (a1_1 = 1)
34,11dec2025 08:42:36,AJ,HHcode -- CAM0000200,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
82,28nov2025 17:10:09,AM,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
292,02dec2025 12:13:40,AM,EFD000016001003,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
350,18dec2025 14:33:45,AA,EGF000004001010,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
1236,02dec2025 12:46:26,AJ,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
1269,02dec2025 17:10:46,AJ,NAC000056001018,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
1333,13jan2026 16:34:37,ZC,HHcode -- CAL0000740,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
1379,23jan2026 11:35:47,RA,HHcode -- EBE0000300,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_7,Missing Section E behaviour item e_3_7 when interview was conducted (a1_1 = 1)
34,11dec2025 08:42:36,AJ,HHcode -- CAM0000200,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
82,28nov2025 17:10:09,AM,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
292,02dec2025 12:13:40,AM,EFD000016001003,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
350,18dec2025 14:33:45,AA,EGF000004001010,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
1236,02dec2025 12:46:26,AJ,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
1269,02dec2025 17:10:46,AJ,NAC000056001018,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
1333,13jan2026 16:34:37,ZC,HHcode -- CAL0000740,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
1379,23jan2026 11:35:47,RA,HHcode -- EBE0000300,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_6,Missing Section E behaviour item e_3_6 when interview was conducted (a1_1 = 1)
34,11dec2025 08:42:36,AJ,HHcode -- CAM0000200,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_5,Missing Section E behaviour item e_3_5 when interview was conducted (a1_1 = 1)
82,28nov2025 17:10:09,AM,UNK,Member 1 DB,Section E – Health literacy & sources of information,Missing,e_3_5,Missing Section E behaviour item e_3_5 when interview was conducted (a1_1 = 1)
292,02dec2025 12:13:40,AM,EFD000016001003,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_5,Missing Section E behaviour item e_3_5 when interview was conducted (a1_1 = 1)
350,18dec2025 14:33:45,AA,EGF000004001010,Member 2 DB,Section E – Health literacy & sources of information,Missing,e_3_5,Missing Section E behaviour item e_3_5 when interview was conducted (a1_1 = 1)
